Time,Ex,Ey
1.529999999999999971e-01,9.886206394940502129e-01,2.250426695319365678e+00
1.539999999999999980e-01,9.884697183933214282e-01,2.251415240535530771e+00
1.549999999999999989e-01,9.883178088228906644e-01,2.252403634336104243e+00
1.559999999999999998e-01,9.881649109346661852e-01,2.253391875732691396e+00
1.570000000000000007e-01,9.880110248815465734e-01,2.254379963737049852e+00
1.580000000000000016e-01,9.878561508174154016e-01,2.255367897361090446e+00
1.590000000000000024e-01,9.877002888971484484e-01,2.256355675616878997e+00
1.600000000000000033e-01,9.875434392766075931e-01,2.257343297516637204e+00
1.610000000000000042e-01,9.873856021126394822e-01,2.258330762072741305e+00
1.620000000000000051e-01,9.872267775630840791e-01,2.259318068297726967e+00
1.630000000000000060e-01,9.870669657867634506e-01,2.260305215204286622e+00
1.640000000000000069e-01,9.869061669434900930e-01,2.261292201805273017e+00
1.650000000000000078e-01,9.867443811940619369e-01,2.262279027113698326e+00
1.660000000000000087e-01,9.865816087002650114e-01,2.263265690142736819e+00
1.670000000000000095e-01,9.864178496248698913e-01,2.264252189905724855e+00
1.680000000000000104e-01,9.862531041316372482e-01,2.265238525416161330e+00
1.690000000000000113e-01,9.860873723853115225e-01,2.266224695687709900e+00
1.700000000000000122e-01,9.859206545516235876e-01,2.267210699734201196e+00
1.710000000000000131e-01,9.857529507972908611e-01,2.268196536569627497e+00
1.720000000000000140e-01,9.855842612900179711e-01,2.269182205208153391e+00
1.730000000000000149e-01,9.854145861984932031e-01,2.270167704664108665e+00
1.740000000000000158e-01,9.852439256923907207e-01,2.271153033951993194e+00
1.750000000000000167e-01,9.850722799423720089e-01,2.272138192086476938e+00
1.759999999999999898e-01,9.848996491200812109e-01,2.273123178082400830e+00
1.769999999999999907e-01,9.847260333981496805e-01,2.274107990954777669e+00
1.779999999999999916e-01,9.845514329501918738e-01,2.275092629718794335e+00
1.789999999999999925e-01,9.843758479508086801e-01,2.276077093389811346e+00
1.799999999999999933e-01,9.841992785755849793e-01,2.277061380983363303e+00
1.809999999999999942e-01,9.840217250010881989e-01,2.278045491515162890e+00
